Nr;Municipio;CodIBGE;Estado;Area;Desmatado;Incremento;Floresta;Nuvem;NaoFloresta;Hidrografia;
187;Careiro da Várzea;1301159;AM;2641;586.0;7.1;718.3;0.9;707.8;628.0;
188;Cacaulândia;1100601;RO;1985;1506.4;7.1;437.5;0.0;41.1;0.0;
189;Manaus;1302603;AM;11473;1275.8;6.7;8576.7;69.7;3.0;1547.8;
190;Amarante do Maranhão;2100600;MA;7733;2362.3;6.7;3692.2;0.0;1678.5;0.0;
191;São Gabriel da Cachoeira;1303809;AM;112476;1225.3;6.6;102415.3;6863.4;489.7;1482.3;
192;Baião;1501204;PA;3768;1637.2;6.4;1419.5;0.0;475.4;235.9;
193;Pontes e Lacerda;5106752;MT;8639;3910.3;6.3;1405.9;0.0;3322.8;0.0;
194;Rio Crespo;1100262;RO;1741;1127.0;6.3;590.7;0.0;23.3;0.0;
195;Lucas do Rio Verde;5105259;MT;3662;553.7;6.2;613.5;0.0;2494.8;0.0;
196;Cáceres;5102504;MT;24399;1984.1;6.2;1542.5;0.0;19780.8;1091.6;
197;Barão de Melgaço;5101605;MT;11187;383.2;6.2;2201.1;0.0;8493.6;109.1;
198;Parecis;1101450;RO;2568;1200.7;6.2;883.9;0.0;483.0;0.4;
199;São Luiz;1400605;RR;1537;607.0;6.1;927.8;0.1;0.0;2.1;
200;Nova Ipixuna;1504976;PA;1569;1176.0;6.1;176.6;0.0;122.6;93.8;
201;Nova Olinda do Norte;1303106;AM;5625;452.3;6.1;4460.7;0.0;281.0;431.0;
202;Araputanga;5101258;MT;1608;1232.5;6.0;340.3;0.0;35.2;0.0;
203;São Domingos do Maranhão;2110708;MA;1168;890.0;5.9;185.7;0.0;92.3;0.0;
204;Governador Luiz Rocha;2104628;MA;377;223.2;5.7;127.8;0.0;26.0;0.0;
205;Governador Jorge Teixeira;1101005;RO;5131;1392.1;5.7;3547.5;0.0;191.4;0.0;
206;Juruena;5105176;MT;2826;1278.8;5.7;1455.6;0.0;66.5;25.1;
207;Colíder;5103205;MT;3039;2540.1;5.7;492.5;0.0;2.3;4.1;
208;Alvarães;1300029;AM;6027;352.7;5.5;5502.5;6.2;38.0;127.6;
209;Monção;2106904;MA;1362;979.7;5.4;66.2;1.5;189.0;125.6;
210;Santa Rosa do Purus;1200435;AC;6350;109.8;5.3;6205.2;0.0;0.1;34.9;
211;Ananás;1701002;TO;1587;1172.6;5.2;178.2;0.0;192.8;43.4;
212;Presidente Sarney;2109270;MA;732;575.8;5.0;71.3;0.1;82.1;2.7;
213;Cacoal;1100049;RO;3821;2534.2;5.0;1254.8;0.0;26.2;5.8;
214;Assis Brasil;1200054;AC;5180;320.9;4.9;4858.6;0.0;0.5;0.0;
215;Mâncio Lima;1200336;AC;5762;444.9;4.8;5264.6;7.4;45.1;0.0;
216;São João do Araguaia;1507508;PA;1288;950.4;4.8;147.8;0.0;73.7;116.1;
217;Theobroma;1101609;RO;2217;1781.8;4.7;434.8;0.0;0.0;0.4;
218;Vila Rica;5108600;MT;7443;4664.0;4.7;2582.3;0.0;186.8;9.9;
219;Tuntum;2112308;MA;3619;1274.1;4.5;367.4;0.0;1933.7;43.8;
220;Santa Rita;2110203;MA;718;266.2;4.5;257.1;4.3;168.6;21.8;
221;Porto Esperidião;5106828;MT;5833;393.7;4.5;197.8;0.0;5241.5;0.0;
222;Belterra;1501451;PA;4399;841.9;4.4;2895.7;55.9;0.0;605.5;
223;Careiro;1301100;AM;6127;1136.6;4.4;4564.9;27.9;80.7;316.9;
224;Governador Eugênio Barros;2104602;MA;829;381.1;4.4;447.9;0.0;0.0;0.0;
225;Jaru;1100114;RO;2976;2633.1;4.4;298.1;0.0;44.8;0.0;
226;Espigão D'Oeste;1100098;RO;4551;2127.8;4.2;2126.4;0.0;296.5;0.3;
227;Corumbiara;1100072;RO;3081;2176.1;4.1;805.5;0.0;99.4;0.0;
228;Pinheiro;2108603;MA;1482;883.9;4.1;74.8;3.1;414.3;105.9;
229;Parauapebas;1505536;PA;6968;1335.8;4.1;5544.8;0.0;85.6;1.8;
230;Coari;1301209;AM;58828;795.2;4.0;53382.5;1065.4;823.1;2761.8;
231;Sapucaia;1507755;PA;1300;1174.5;3.8;125.5;0.0;0.0;0.0;
232;Gurupá;1503101;PA;8550;127.7;3.8;6325.3;282.6;517.1;1297.3;
233;Nhamundá;1303007;AM;14132;506.3;3.8;11636.0;537.4;344.4;1107.9;
234;Curionópolis;1502772;PA;2375;2068.2;3.7;302.2;0.0;4.6;0.0;
235;Jacundá;1503804;PA;2013;1485.7;3.7;263.0;0.0;0.0;264.3;
236;São Paulo de Olivença;1303908;AM;20467;191.2;3.7;19595.0;6.7;86.3;587.8;
237;Itapecuru Mirim;2105401;MA;1494;601.8;3.6;580.4;0.1;308.4;3.3;
238;Uarini;1304260;AM;10448;276.1;3.5;9639.7;0.0;100.4;431.8;
239;Canarana;5102702;MT;10840;1922.1;3.5;2126.9;0.0;6784.7;6.3;
240;Beruri;1300631;AM;17411;232.4;3.3;15505.4;214.3;886.1;572.8;
241;Eirunepé;1301407;AM;15608;397.5;3.3;14856.7;0.0;172.1;181.7;
242;Bagre;1501105;PA;4403;215.6;3.3;3859.9;9.2;61.5;256.8;
243;Colinas;2103505;MA;2011;217.5;3.2;354.6;0.0;1438.9;0.0;
244;Cantanhede;2102705;MA;783;253.1;3.2;525.3;0.0;4.6;0.0;
245;Aurora do Pará;1500958;PA;1824;1566.0;3.1;239.6;1.1;0.0;17.3;
246;Santo Antônio do Içá;1303700;AM;12737;146.5;3.1;11523.0;525.8;90.4;451.3;
247;Rio Preto da Eva;1303569;AM;5838;592.2;3.0;5173.4;62.1;0.0;10.3;
248;Parintins;1303403;AM;5958;993.0;3.0;1546.8;3.8;1133.2;2281.2;
249;Pau D'Arco;1505551;PA;1674;943.7;3.0;318.6;0.0;411.7;0.0;
250;Santo Antônio do Leverger;5107800;MT;12262;1050.7;2.9;1089.2;0.9;10099.5;21.7;
251;Eldorado dos Carajás;1502954;PA;2968;2761.2;2.9;206.8;0.0;0.0;0.0;
252;Terra Santa;1507979;PA;1900;369.0;2.8;708.4;45.1;388.1;389.4;
253;Pedro do Rosário;2108256;MA;1770;1681.5;2.8;19.0;0.1;69.4;0.0;
254;Barcarena;1501303;PA;1316;336.7;2.6;449.7;0.0;1.9;527.7;
255;Tucumã;1508084;PA;2513;2303.5;2.6;200.9;1.0;0.0;7.6;
256;Caapiranga;1300839;AM;9550;253.2;2.6;8616.6;70.7;181.9;427.6;
257;Bom Jesus do Araguaia;5101852;MT;4282;2770.6;2.5;1134.5;0.0;375.3;1.6;
258;Ji-Paraná;1100122;RO;6955;2620.1;2.5;4233.3;0.0;66.3;35.3;
259;Oeiras do Pará;1505205;PA;3863;788.0;2.5;2385.3;18.0;377.7;294.0;
260;Floresta do Araguaia;1503044;PA;3454;1927.5;2.4;303.4;0.0;1177.7;45.4;
261;Japurá;1302108;AM;57555;63.9;2.3;50495.0;5473.3;2.6;1520.2;
262;Nova Brasilândia D'Oeste;1100148;RO;1167;911.4;2.3;190.5;0.0;65.1;0.0;
263;Miranda do Norte;2106755;MA;357;261.5;2.2;82.1;0.4;12.8;0.2;
264;Iranduba;1301852;AM;2229;499.3;2.2;1272.7;20.3;132.9;303.8;
265;Cidelândia;2103257;MA;1474;1314.4;2.2;132.0;0.0;20.8;6.8;
266;Bannach;1501253;PA;2964;2199.2;2.2;702.3;0.0;62.5;0.0;
267;Serra Nova Dourada;5107883;MT;1491;359.5;2.2;168.8;0.0;962.7;0.0;
268;Melgaço;1504505;PA;6781;170.5;2.2;5909.2;8.6;166.3;526.4;
269;Nova Lacerda;5106182;MT;4744;1888.6;2.2;1356.1;0.0;1499.3;0.0;
270;Mirassol d'Oeste;5105622;MT;1077;948.5;2.2;94.7;0.0;33.8;0.0;
271;Ribeirão Cascalheira;5107180;MT;11364;1678.9;2.2;1730.2;0.0;7938.9;16.0;
272;Conceição do Araguaia;1502707;PA;5847;3103.3;2.1;751.8;0.0;1874.8;117.1;
273;Arari;2101004;MA;1115;417.0;2.1;34.0;0.0;585.3;78.7;
274;Canabrava do Norte;5102694;MT;3451;1668.6;2.1;581.1;0.0;1201.1;0.2;
275;São Domingos do Capim;1507201;PA;1686;1357.8;2.1;277.1;0.0;15.2;35.9;
276;Carutapera;2102903;MA;1239;664.3;2.1;377.0;5.6;112.8;79.3;
277;Vale do Paraíso;1101807;RO;974;888.2;2.1;81.6;0.0;3.5;0.7;
278;Nova Mutum;5106224;MT;9546;2938.0;2.0;3228.4;0.0;3372.4;7.2;
279;Manaquiri;1302553;AM;4001;504.5;2.0;3083.9;19.2;106.3;287.1;
280;Cajari;2102507;MA;551;65.8;2.0;20.0;0.5;352.2;112.5;
281;Canaã dos Carajás;1502152;PA;3156;1748.2;2.0;1302.1;0.0;105.6;0.1;
282;Sapezal;5107875;MT;13636;194.8;2.0;2844.8;0.0;10595.9;0.5;
283;Rosário;2109601;MA;695;100.7;2.0;435.1;64.8;0.0;94.4;
284;Vera;5108501;MT;2952;1966.9;1.9;967.2;0.0;17.8;0.1;
285;Riachinho;1718550;TO;520;447.4;1.9;53.8;0.0;18.8;0.0;
286;Santo Afonso;5107263;MT;1172;984.8;1.9;182.8;0.0;4.4;0.0;
287;Breves;1501808;PA;9572;548.5;1.9;7772.6;141.8;86.2;1022.9;
288;Alvorada D'Oeste;1100346;RO;3060;1389.1;1.9;851.2;0.0;819.7;0.0;
289;Formoso do Araguaia;1708205;TO;13453;209.2;1.9;818.4;0.0;12257.6;167.8;
290;Matões do Norte;2106631;MA;793;432.7;1.8;354.9;0.0;4.6;0.8;
291;João Lisboa;2105500;MA;638;595.6;1.8;42.4;0.0;0.0;0.0;
292;Magalhães Barata;1504109;PA;326;165.7;1.7;130.3;0.1;2.3;27.6;
293;Penalva;2108306;MA;792;491.8;1.7;22.5;0.6;154.7;122.4;
294;Buritirana;2102358;MA;824;705.3;1.7;104.8;0.0;13.9;0.0;
295;Carlinda;5102793;MT;2417;1737.7;1.6;647.1;0.0;0.0;32.2;
296;Aragominas;1701309;TO;1180;1023.4;1.6;127.9;0.0;18.0;10.7;
297;Silves;1304005;AM;3758;442.6;1.6;2582.9;5.1;128.7;598.7;
298;Piçarra;1505635;PA;3322;2932.2;1.6;325.9;0.0;0.0;63.9;
299;Nova Olímpia;5106232;MT;1554;999.9;1.6;237.4;0.0;316.7;0.0;
300;Godofredo Viana;2104305;MA;684;304.3;1.6;272.0;6.6;28.0;73.1;
301;Boa Vista do Gurupi;2101970;MA;407;338.2;1.6;63.3;0.0;0.0;5.5;
302;Coroatá;2103604;MA;2298;1060.3;1.6;1237.7;0.0;0.0;0.0;
303;Presidente Dutra;2109106;MA;805;741.2;1.5;63.6;0.0;0.1;0.1;
304;Pedro Afonso;1716505;TO;2021;32.5;1.5;19.4;0.0;1949.5;19.6;
305;Araguatins;1702208;TO;2642;1843.5;1.5;192.8;0.0;539.0;66.7;
306;São Domingos do Araguaia;1507151;PA;1397;1298.6;1.5;98.4;0.0;0.0;0.0;
307;Carauari;1301001;AM;26469;300.7;1.5;25755.4;0.3;12.7;399.9;
308;Castanheiras;1100908;RO;901;735.4;1.5;162.5;0.0;0.6;2.5;
309;Barreirinha;1300508;AM;5760;813.3;1.5;3582.0;0.0;408.6;956.1;
310;Alto Boa Vista;5100359;MT;2241;1228.2;1.5;439.0;0.0;573.8;0.0;
311;Xinguara;1508407;PA;3793;3382.5;1.5;392.9;0.0;0.0;17.6;
312;Vitória do Mearim;2112902;MA;736;244.3;1.4;16.8;0.1;464.9;9.9;
313;Macapá;1600303;AP;6419;423.8;1.4;1753.1;171.1;3119.5;951.5;
314;Brejo Grande do Araguaia;1501758;PA;1292;1073.5;1.4;162.0;0.0;29.8;26.7;
315;Terra Nova do Norte;5108055;MT;2551;2166.2;1.4;380.2;0.0;4.6;0.0;
316;Nova Guarita;5108808;MT;1087;944.6;1.3;138.6;3.2;0.0;0.6;
317;São Sebastião do Uatumã;1303957;AM;10776;226.0;1.3;9796.3;62.2;65.7;625.8;
318;Tartarugalzinho;1600709;AP;6718;333.6;1.3;2845.0;124.0;3226.1;189.3;
319;Itamarati;1301951;AM;26042;138.3;1.3;25609.4;2.5;3.3;288.5;
320;Barcelos;1300409;AM;124163;223.1;1.3;100667.7;1712.2;17060.1;4499.9;
321;Figueirópolis D'Oeste;5103809;MT;893;742.4;1.3;44.5;0.0;106.1;0.0;
322;Amapá do Maranhão;2100550;MA;507;400.3;1.3;106.4;0.3;0.0;0.0;
323;Codajás;1301308;AM;18944;276.0;1.3;16450.1;47.9;729.2;1440.8;
